year,month,zip_code,customer_type,monthly_usage,lat,lng,geometry
2015.0,6,37205.0,commercial,10871384.0,36.112469,-86.867263,POINT (-86.86726299999999 36.112469)
2015.0,6,37243.0,commercial,2610740.0,36.166899,-86.77672,POINT (-86.77672 36.166899)
2015.0,6,37076.0,commercial,1141837.0,36.175185,-86.5933,POINT (-86.5933 36.175185)
2015.0,6,37203.0,commercial,2326307.0,36.150195,-86.790206,POINT (-86.790206 36.150195)
2015.0,6,37152.0,commercial,61320.0,36.396526,-86.765833,POINT (-86.765833 36.396526)
2015.0,6,37080.0,commercial,475265.0,36.331509,-86.915843,POINT (-86.915843 36.331509)
2015.0,6,37066.0,commercial,568445.0,36.387698,-86.459057,POINT (-86.459057 36.387698)
2015.0,6,37072.0,commercial,1539570.0,36.350389,-86.731255,POINT (-86.731255 36.350389)
2015.0,6,37204.0,commercial,1776500.0,36.109305,-86.776748,POINT (-86.776748 36.109305)
2015.0,6,37122.0,commercial,7001.0,36.187906,-86.500085,POINT (-86.500085 36.187906)
2015.0,6,37229.0,commercial,1127000.0,36.166687,-86.779932,POINT (-86.779932 36.166687)
2015.0,6,37086.0,commercial,20687710.0,36.014912,-86.5643,POINT (-86.5643 36.014912)
2015.0,6,37202.0,commercial,27300.0,36.158527,-86.782923,POINT (-86.782923 36.158527)
2015.0,6,37201.0,commercial,8337562.0,36.164553,-86.776977,POINT (-86.776977 36.164553)
2015.0,6,37204.0,commercial,17010806.0,36.109305,-86.776748,POINT (-86.776748 36.109305)
2015.0,5,37069.0,commercial,4388.0,35.985493,-86.899213,POINT (-86.899213 35.985493)
