,year,month,customer_type,monthly_usage,zip_code,geometry,latitude,longitude,geo
10556,2017.0,6,COMMERCIAL,776262.0,37221,"(36.064367, -86.96029)",36.064367,-86.96029,POINT (-86.96029 36.064367)
10557,2017.0,6,OUTDOOR LIGHTING,15550.0,37204,"(36.109305, -86.776748)",36.109305,-86.77674,POINT (-86.77674 36.109305)
10558,2017.0,6,COMMERCIAL,20828.0,37152,"(36.396526, -86.765833)",36.396526,-86.76583,POINT (-86.76582999999999 36.396526)
10559,2017.0,6,SEASONAL CUSTOMER,0.0,37212,"(36.133256, -86.801456)",36.133256,-86.80145,POINT (-86.80145 36.133256)
10560,2017.0,6,RESIDENTIAL,2729164.0,37206,"(36.18095, -86.739624)",86.739624,-86.73962,POINT (-86.73962 86.73962400000001)
10561,2017.0,6,COMMERCIAL,19551586.0,37086,"(36.014912, -86.5643)",36.014912,,POINT (nan 36.014912)
10562,2017.0,6,RESIDENTIAL,715.0,37213,"(36.167552, -86.767564)",36.167552,-86.76756,POINT (-86.76756 36.167552)
10563,2017.0,6,COMMERCIAL,23930547.0,37138,"(36.239455, -86.611783)",36.239455,-86.61178,POINT (-86.61178 36.239455)
10564,2017.0,6,RESIDENTIAL,2948535.0,37217,"(36.106646, -86.667608)",36.106646,-86.66760,POINT (-86.66759999999999 36.106646)
10565,2017.0,6,COMMERCIAL,12318695.0,37217,"(36.106646, -86.667608)",36.106646,-86.66760,POINT (-86.66759999999999 36.106646)
10566,2017.0,6,RESIDENTIAL,563679.0,37069,"(35.985493, -86.899213)",35.985493,-86.89921,POINT (-86.89921 35.985493)
10567,2017.0,6,COMMERCIAL,480087.0,37138,"(36.239455, -86.611783)",36.239455,-86.61178,POINT (-86.61178 36.239455)
10568,2017.0,6,RESIDENTIAL,200999.0,37135,"(35.946013, -86.661944)",35.946013,-86.66194,POINT (-86.66194 35.946013)
10569,2017.0,6,RESIDENTIAL,5460777.0,37115,"(36.262567, -86.704171)",36.262567,-86.70417,POINT (-86.70417 36.262567)
10570,2017.0,6,COMMERCIAL,12339.0,37015,"(36.29003, -87.070106)",87.070106,-87.07010,POINT (-87.0701 87.070106)
10571,2017.0,6,COMMERCIAL,45472.0,37066,"(36.387698, -86.459057)",36.387698,-86.45905,POINT (-86.45905 36.387698)
10572,2017.0,6,COMMERCIAL,10064944.0,37115,"(36.262567, -86.704171)",36.262567,-86.70417,POINT (-86.70417 36.262567)
10573,2017.0,6,RESIDENTIAL,5741919.0,37072,"(36.350389, -86.731255)",36.350389,-86.73125,POINT (-86.73125 36.350389)
10574,2017.0,6,COMMERCIAL,609052.0,37212,"(36.133256, -86.801456)",36.133256,-86.80145,POINT (-86.80145 36.133256)
10575,2017.0,6,COMMERCIAL,2138620.0,37243,"(36.166899, -86.77672)",36.166899,-86.77672,POINT (-86.77672 36.166899)
10576,2017.0,6,COMMERCIAL,14834643.0,37013,"(36.049335, -86.641832)",36.049335,-86.64183,POINT (-86.64183 36.049335)
10577,2017.0,6,OUTDOOR LIGHTING,3188.0,37013,"(36.049335, -86.641832)",36.049335,-86.64183,POINT (-86.64183 36.049335)
10578,2017.0,6,COMMERCIAL,1239583.0,37115,"(36.262567, -86.704171)",36.262567,-86.70417,POINT (-86.70417 36.262567)
10579,2017.0,6,COMMERCIAL,20681028.0,37211,"(36.069132, -86.724578)",36.069132,-86.72457,POINT (-86.72457 36.069132)
10580,2017.0,6,RESIDENTIAL,6563725.0,37211,"(36.069132, -86.724578)",36.069132,-86.72457,POINT (-86.72457 36.069132)
10581,2017.0,6,OUTDOOR LIGHTING,26071.0,37072,"(36.350389, -86.731255)",36.350389,-86.73125,POINT (-86.73125 36.350389)
10582,2017.0,6,RESIDENTIAL,1343943.0,37080,"(36.331509, -86.915843)",36.331509,-86.91584,POINT (-86.91584 36.331509)
10583,2017.0,6,COMMERCIAL,6751344.0,37218,"(36.210699, -86.866798)",36.210699,-86.86679,POINT (-86.86678999999999 36.210699)
