,year,month,customer_type,monthly_usage(kWh),zip_code,geometry
7095,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,31374.0,37243,"(36.166899, -86.77672)"
7096,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,6994164.0,37205,"(36.112469, -86.867263)"
7097,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,30254.0,37219,"(36.167467, -86.783669)"
7098,2012.0,4,SEASEAS =< 50 KW,560.0,37072,"(36.350389, -86.731255)"
7099,2012.0,4,OLMOLB METERED,1396.0,37205,"(36.112469, -86.867263)"
7100,2012.0,4,COMCOMM > 50 KW,133000.0,37238,"(36.166067, -86.779698)"
7101,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,1672255.0,37212,"(36.133256, -86.801456)"
7102,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,1921968.0,37075,"(36.323052, -86.60557)"
7103,2012.0,4,COMCOMM > 50 KW,23910403.0,37210,"(36.140869, -86.738847)"
7104,2012.0,4,OLMOLB METERED,2678.0,37207,"(36.224945, -86.775061)"
7105,2012.0,4,COMCOMM > 50 KW,419299.0,37080,"(36.331509, -86.915843)"
7106,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,507237.0,37143,"(36.12259, -87.03587)"
7107,2012.0,4,COMCOMM > 50 KW,917700.0,37229,"(36.166687, -86.779932)"
7108,2012.0,4,COMCOMM > 50 KW,1868888.0,37220,"(36.06788, -86.776955)"
7109,2012.0,4,COMCOMM > 50 KW,15083177.0,37207,"(36.224945, -86.775061)"
7110,2012.0,4,OLMOLB METERED,4739.0,37210,"(36.140869, -86.738847)"
7111,2012.0,4,OLMOLB METERED,40.0,37189,"(36.279393, -86.826731)"
7112,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,1369139.0,37217,"(36.106646, -86.667608)"
7113,2012.0,4,COMCOMM > 50 KW,12007396.0,37027,"(36.00245, -86.778709)"
7114,2012.0,4,COMCOMM > 50 KW,13743384.0,37208,"(36.176427, -86.805176)"
7115,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,0.0,37064,"(35.889628, -86.926986)"
7116,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,90177.0,37243,"(36.166899, -86.77672)"
7117,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,577529.0,37015,"(36.29003, -87.070106)"
7118,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,7915.0,37069,"(35.985493, -86.899213)"
7119,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,649789.0,37216,"(36.216134, -86.726204)"
7120,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,617047.0,37086,"(36.014912, -86.5643)"
7121,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,6465327.0,37215,"(36.091316, -86.827959)"
7122,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,876611.0,37205,"(36.112469, -86.867263)"
7123,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,2103806.0,37209,"(36.149599, -86.874487)"
7124,2012.0,4,SEASEAS > 50 KW,0.0,37210,"(36.140869, -86.738847)"
7125,2012.0,4,COMCOMM > 50 KW,20063971.0,37211,"(36.069132, -86.724578)"
7126,2012.0,4,COMCOMM > 50 KW,16089844.0,37204,"(36.109305, -86.776748)"
7127,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,2805802.0,37203,"(36.150195, -86.790206)"
